DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
12-Feb-2026,EQ,"3,098.90","3,217.00","3,015.00","3,153.10","3,175.00","3,201.90","3,093.58","4,479.00","1,251.55",4691685,"14,51,40,87,775.70",134355
11-Feb-2026,EQ,"3,194.20","3,224.80","3,137.00","3,178.40","3,168.00","3,153.10","3,174.32","4,479.00","1,251.55",424039,"1,34,60,34,505.60",30582
10-Feb-2026,EQ,"3,185.90","3,257.00","3,154.50","3,172.50","3,184.00","3,178.40","3,210.25","4,479.00","1,251.55",839008,"2,69,34,25,141.60",54710
09-Feb-2026,EQ,"3,140.00","3,273.70","3,125.20","3,119.20","3,165.00","3,172.50","3,207.51","4,479.00","1,251.55",1153113,"3,69,86,18,276.00",77589
06-Feb-2026,EQ,"3,104.70","3,136.00","3,051.00","3,108.90","3,110.00","3,119.20","3,089.87","4,479.00","1,251.55",487883,"1,50,74,95,071.40",34243
05-Feb-2026,EQ,"3,223.00","3,224.00","3,091.00","3,222.70","3,107.00","3,108.90","3,130.01","4,479.00","1,251.55",600018,"1,87,80,60,825.90",44042
04-Feb-2026,EQ,"3,184.70","3,246.40","3,144.00","3,207.50","3,232.00","3,222.70","3,206.91","4,479.00","1,251.55",858881,"2,75,43,55,397.90",65416
03-Feb-2026,EQ,"3,340.00","3,344.90","3,180.00","3,193.90","3,204.90","3,207.50","3,242.40","4,479.00","1,251.55",1055769,"3,42,32,20,730.10",80331
02-Feb-2026,EQ,"3,332.50","3,480.00","3,130.90","3,305.70","3,190.00","3,193.90","3,296.33","4,479.00","1,251.55",3204707,"10,56,37,58,691.40",221030
01-Feb-2026,EQ,"3,160.20","3,359.00","3,060.00","3,144.70","3,320.00","3,305.70","3,276.99","4,479.00","1,251.55",2282259,"7,47,89,37,310.50",168161
30-Jan-2026,EQ,"3,050.00","3,305.00","3,018.10","3,068.00","3,145.00","3,144.70","3,174.59","4,479.00","1,251.55",1242369,"3,94,40,16,226.60",92749
29-Jan-2026,EQ,"3,143.00","3,151.00","3,052.50","3,136.40","3,055.00","3,068.00","3,092.76","4,479.00","1,251.55",488257,"1,51,00,62,275.30",37056
28-Jan-2026,EQ,"3,060.00","3,208.90","3,042.40","3,033.80","3,134.90","3,136.40","3,144.89","4,479.00","1,251.55",1099131,"3,45,66,47,602.90",78462
27-Jan-2026,EQ,"3,118.70","3,122.80","3,006.10","3,100.10","3,069.00","3,033.80","3,042.20","4,479.00","1,251.55",871772,"2,65,21,00,626.70",68975
23-Jan-2026,EQ,"3,150.00","3,198.00","3,060.00","3,141.20","3,075.00","3,100.10","3,140.27","4,479.00","1,251.55",644309,"2,02,33,06,057.80",45360
22-Jan-2026,EQ,"3,183.10","3,199.00","3,110.00","3,113.50","3,158.00","3,141.20","3,146.00","4,479.00","1,251.55",987463,"3,10,65,56,387.90",66259
21-Jan-2026,EQ,"3,234.80","3,251.90","3,082.70","3,234.80","3,123.00","3,113.50","3,153.26","4,479.00","1,251.55",1544633,"4,87,06,32,277.90",104830
20-Jan-2026,EQ,"3,420.10","3,437.40","3,219.10","3,403.10","3,249.00","3,234.80","3,302.31","4,479.00","1,251.55",2082093,"6,87,57,14,937.60",149441
19-Jan-2026,EQ,"3,710.00","3,753.00","3,371.10","3,347.40","3,412.00","3,403.10","3,558.71","4,479.00","1,251.55",6350921,"22,60,11,14,724.30",371715
16-Jan-2026,EQ,"3,200.90","3,384.80","3,189.10","3,187.60","3,377.90","3,347.40","3,303.32","4,479.00","1,251.55",1577466,"5,21,08,81,349.20",109104
14-Jan-2026,EQ,"3,290.00","3,340.00","3,159.00","3,273.00","3,166.20","3,187.60","3,257.50","4,479.00","1,251.55",735503,"2,39,58,99,744.40",45303
13-Jan-2026,EQ,"3,380.00","3,423.50","3,257.40","3,346.40","3,275.00","3,273.00","3,335.01","4,479.00","1,251.55",774505,"2,58,29,83,958.10",48017
12-Jan-2026,EQ,"3,300.00","3,417.90","3,271.00","3,310.10","3,353.60","3,346.40","3,350.83","4,479.00","1,251.55",1490148,"4,99,32,36,535.70",104921
09-Jan-2026,EQ,"3,385.10","3,469.00","3,277.00","3,397.40","3,288.30","3,310.10","3,390.49","4,479.00","1,251.55",1438601,"4,87,75,66,239.50",104627
08-Jan-2026,EQ,"3,360.00","3,454.50","3,330.50","3,368.40","3,400.10","3,397.40","3,397.35","4,479.00","1,251.55",1588112,"5,39,53,69,621.50",107619
07-Jan-2026,EQ,"3,348.10","3,418.50","3,290.60","3,348.10","3,365.00","3,368.40","3,365.41","4,479.00","1,251.55",1572628,"5,29,25,41,120.10",97511
06-Jan-2026,EQ,"3,289.00","3,424.40","3,234.10","3,274.60","3,330.00","3,348.10","3,357.68","4,479.00","1,251.55",3076832,"10,33,10,31,892.20",202896
05-Jan-2026,EQ,"3,044.00","3,433.00","3,030.00","3,024.10","3,270.00","3,274.60","3,302.59","4,479.00","1,251.55",7163906,"23,65,94,25,176.60",399520
02-Jan-2026,EQ,"3,070.00","3,071.00","3,012.00","3,075.90","3,040.00","3,024.10","3,032.01","4,479.00","1,251.55",294265,"89,22,15,216.30",27459
01-Jan-2026,EQ,"3,120.00","3,125.00","3,065.00","3,110.80","3,085.00","3,075.90","3,086.80","4,479.00","1,251.55",114489,"35,34,04,594.20",12891
31-Dec-2025,EQ,"3,093.30","3,129.10","3,080.00","3,093.30","3,106.00","3,110.80","3,104.22","4,479.00","1,251.55",185456,"57,56,95,442.90",17946
30-Dec-2025,EQ,"3,080.00","3,124.00","3,065.50","3,078.80","3,095.10","3,093.30","3,092.56","4,479.00","1,251.55",266979,"82,56,48,506.70",26528
29-Dec-2025,EQ,"3,147.60","3,189.00","3,065.00","3,147.60","3,092.00","3,078.80","3,114.24","4,479.00","1,251.55",298436,"92,94,01,504.60",29334
26-Dec-2025,EQ,"3,193.00","3,230.00","3,130.00","3,193.20","3,144.90","3,147.60","3,177.84","4,479.00","1,251.55",241643,"76,79,02,184.10",21062
24-Dec-2025,EQ,"3,232.00","3,250.00","3,180.00","3,232.30","3,193.00","3,193.20","3,216.59","4,479.00","1,251.55",204739,"65,85,61,343.40",19660
23-Dec-2025,EQ,"3,266.10","3,267.50","3,215.00","3,276.10","3,234.00","3,232.30","3,238.82","4,479.00","1,251.55",227733,"73,75,86,072.80",21045
22-Dec-2025,EQ,"3,260.00","3,336.90","3,237.00","3,250.90","3,259.70","3,276.10","3,273.41","4,479.00","1,251.55",333230,"1,09,07,99,929.40",29527
19-Dec-2025,EQ,"3,134.60","3,271.90","3,134.60","3,120.60","3,243.80","3,250.90","3,227.15","4,479.00","1,251.55",578563,"1,86,71,08,345.10",48256
18-Dec-2025,EQ,"3,163.20","3,211.40","3,110.00","3,204.20","3,126.00","3,120.60","3,152.96","4,479.00","1,251.55",317313,"1,00,04,76,757.20",31336
17-Dec-2025,EQ,"3,250.00","3,270.00","3,152.00","3,279.30","3,175.00","3,204.20","3,222.89","4,479.00","1,251.55",342310,"1,10,32,27,677.20",31715
16-Dec-2025,EQ,"3,333.00","3,371.90","3,250.00","3,331.20","3,271.00","3,279.30","3,297.39","4,479.00","1,251.55",474027,"1,56,30,51,308.20",40911
15-Dec-2025,EQ,"3,198.10","3,350.00","3,180.10","3,200.80","3,334.00","3,331.20","3,288.61","4,479.00","1,251.55",673205,"2,21,39,07,964.60",56294
12-Dec-2025,EQ,"3,161.90","3,215.00","3,152.00","3,154.20","3,192.80","3,200.80","3,190.13","4,479.00","1,251.55",389668,"1,24,30,91,019.20",29837
11-Dec-2025,EQ,"3,064.60","3,185.00","3,030.00","3,067.80","3,158.00","3,154.20","3,131.64","4,479.00","1,251.55",701368,"2,19,64,34,996.50",57807
10-Dec-2025,EQ,"3,122.00","3,181.50","3,041.90","3,127.80","3,051.00","3,067.80","3,114.46","4,479.00","1,251.55",644505,"2,00,72,83,624.10",50861
09-Dec-2025,EQ,"3,020.00","3,147.80","2,942.40","3,038.00","3,121.40","3,127.80","3,047.96","4,479.00","1,251.55",853670,"2,60,19,49,443.10",67518
08-Dec-2025,EQ,"3,079.80","3,117.90","2,983.30","3,081.60","3,038.00","3,038.00","3,056.76","4,479.00","1,251.55",792242,"2,42,16,90,987.50",64961
05-Dec-2025,EQ,"3,184.10","3,239.00","2,920.00","3,198.30","3,039.00","3,081.60","3,132.90","4,479.00","1,251.55",627748,"1,96,66,70,414.80",50443
04-Dec-2025,EQ,"3,205.00","3,245.00","3,110.00","3,211.00","3,181.00","3,198.30","3,177.74","4,479.00","1,251.55",763920,"2,42,75,42,050.30",62022
03-Dec-2025,EQ,"3,231.90","3,275.00","3,175.00","3,220.30","3,187.00","3,211.00","3,215.04","4,479.00","1,251.55",481911,"1,54,93,64,996.50",36607
02-Dec-2025,EQ,"3,218.00","3,249.00","3,131.00","3,218.60","3,240.00","3,220.30","3,183.92","4,479.00","1,251.55",749139,"2,38,51,98,781.70",61264
01-Dec-2025,EQ,"3,301.40","3,317.50","3,202.20","3,291.40","3,212.90","3,218.60","3,243.44","4,479.00","1,251.55",441267,"1,43,12,23,517.60",34484
28-Nov-2025,EQ,"3,335.30","3,341.00","3,276.10","3,335.30","3,291.10","3,291.40","3,298.05","4,479.00","1,251.55",306017,"1,00,92,58,382.80",24070
27-Nov-2025,EQ,"3,300.00","3,384.80","3,294.80","3,291.90","3,330.00","3,335.30","3,337.69","4,479.00","1,251.55",717288,"2,39,40,83,883.70",50484
26-Nov-2025,EQ,"3,315.00","3,329.00","3,277.40","3,297.40","3,284.90","3,291.90","3,298.64","4,479.00","1,251.55",438508,"1,44,64,78,844.50",32216
25-Nov-2025,EQ,"3,309.70","3,350.00","3,257.00","3,285.50","3,305.00","3,297.40","3,295.69","4,479.00","1,251.55",825228,"2,71,96,95,751.50",62574
24-Nov-2025,EQ,"3,322.50","3,395.00","3,221.30","3,306.40","3,300.00","3,285.50","3,296.69","4,479.00","1,251.55",1203056,"3,96,60,99,058.10",84855
21-Nov-2025,EQ,"3,369.90","3,390.00","3,290.00","3,439.60","3,308.90","3,306.40","3,333.26","4,479.00","1,251.55",851096,"2,83,69,26,961.40",63644
20-Nov-2025,EQ,"3,425.10","3,499.00","3,366.00","3,288.00","3,436.00","3,439.60","3,438.46","4,479.00","1,251.55",3814814,"13,11,70,78,696.30",232280
19-Nov-2025,EQ,"3,265.00","3,359.80","3,203.10","3,259.60","3,285.00","3,288.00","3,310.55","4,479.00","1,251.55",1722535,"5,70,25,43,054.70",123824
18-Nov-2025,EQ,"3,382.00","3,384.50","3,240.00","3,378.10","3,255.00","3,259.60","3,291.42","4,479.00","1,251.55",775337,"2,55,19,59,628.30",66451
17-Nov-2025,EQ,"3,444.00","3,466.70","3,361.00","3,438.00","3,378.00","3,378.10","3,393.75","4,479.00","1,251.55",858643,"2,91,40,19,350.50",67639
14-Nov-2025,EQ,"3,440.10","3,540.70","3,406.90","3,475.90","3,432.00","3,438.00","3,479.84","4,479.00","1,251.55",1024044,"3,56,35,09,050.00",86988
13-Nov-2025,EQ,"3,545.00","3,569.90","3,440.00","3,528.40","3,467.90","3,475.90","3,489.98","4,479.00","1,251.55",1103226,"3,85,02,40,311.20",84640
12-Nov-2025,EQ,"3,518.40","3,620.00","3,494.10","3,493.70","3,510.00","3,528.40","3,564.56","4,479.00","1,251.55",1681255,"5,99,29,27,175.70",121030
11-Nov-2025,EQ,"3,420.00","3,533.00","3,392.50","3,373.50","3,500.00","3,493.70","3,473.27","4,479.00","1,251.55",2906091,"10,09,36,30,680.30",211163
10-Nov-2025,EQ,"3,459.90","3,555.00","3,305.00","3,431.90","3,408.00","3,373.50","3,388.73","4,479.00","1,251.55",2429314,"8,23,22,80,580.60",194375
07-Nov-2025,EQ,"3,300.80","3,579.00","3,272.40","3,300.80","3,440.00","3,431.90","3,453.51","4,479.00","1,251.55",5283582,"18,24,69,09,235.60",392651
06-Nov-2025,EQ,"3,659.00","3,670.00","3,272.00","3,630.30","3,302.00","3,300.80","3,396.65","4,479.00","1,251.55",3315185,"11,26,05,15,578.00",253025
04-Nov-2025,EQ,"3,845.00","3,895.00","3,600.00","3,798.80","3,648.30","3,630.30","3,738.91","4,479.00","1,251.55",2422207,"9,05,64,20,360.20",180849
03-Nov-2025,EQ,"3,858.00","3,908.00","3,751.20","4,037.80","3,798.00","3,798.80","3,811.92","4,479.00","1,251.55",2351508,"8,96,37,67,725.50",178318
31-Oct-2025,EQ,"4,118.00","4,124.00","3,971.60","4,103.90","4,031.00","4,037.80","4,035.87","4,479.00","1,251.55",1472490,"5,94,27,81,086.80",115781
30-Oct-2025,EQ,"3,951.00","4,216.00","3,951.00","3,924.20","4,109.00","4,103.90","4,098.40","4,479.00","1,251.55",4433330,"18,16,95,52,123.50",318189
29-Oct-2025,EQ,"4,225.00","4,280.00","3,906.00","4,206.80","3,948.00","3,924.20","4,044.57","4,479.00","1,251.55",2844072,"11,50,30,35,892.20",204797
28-Oct-2025,EQ,"3,916.40","4,239.00","3,911.00","3,897.00","4,186.00","4,206.80","4,118.07","4,479.00","1,251.55",4618469,"19,01,91,72,820.50",292875
27-Oct-2025,EQ,"3,750.10","3,917.20","3,724.20","3,717.10","3,911.00","3,897.00","3,830.34","4,479.00","1,251.55",1448692,"5,54,89,90,099.10",104545
24-Oct-2025,EQ,"3,743.70","3,798.00","3,701.00","3,743.70","3,709.00","3,717.10","3,740.58","4,479.00","1,251.55",887137,"3,31,84,06,320.70",71223
23-Oct-2025,EQ,"3,910.00","3,923.90","3,708.60","3,895.00","3,729.90","3,743.70","3,811.34","4,479.00","1,251.55",832396,"3,17,25,40,622.90",70280
21-Oct-2025,EQ,"3,926.90","3,995.00","3,814.20","3,897.60","3,859.60","3,895.00","3,934.87","4,479.00","1,251.55",378755,"1,49,03,53,222.70",31135
20-Oct-2025,EQ,"3,838.00","4,048.40","3,800.10","3,833.10","3,888.00","3,897.60","3,949.40","4,479.00","1,251.55",2202478,"8,69,84,75,349.90",170560
17-Oct-2025,EQ,"3,765.00","3,925.90","3,738.10","3,760.20","3,824.00","3,833.10","3,855.39","4,479.00","1,251.55",1814371,"6,99,51,09,731.30",145032
16-Oct-2025,EQ,"3,954.90","3,955.00","3,728.10","3,932.40","3,739.50","3,760.20","3,799.43","4,479.00","1,251.55",1476211,"5,60,87,54,085.10",117440
15-Oct-2025,EQ,"3,885.00","3,983.70","3,825.00","3,876.40","3,928.40","3,932.40","3,882.54","4,479.00","1,251.55",1014031,"3,93,70,16,667.80",83264
14-Oct-2025,EQ,"3,924.00","3,950.00","3,835.00","3,889.50","3,863.20","3,876.40","3,897.20","4,479.00","1,251.55",1257726,"4,90,16,09,028.20",94494
13-Oct-2025,EQ,"4,008.00","4,077.00","3,874.90","4,027.50","3,885.00","3,889.50","3,974.26","4,479.00","1,251.55",2183625,"8,67,82,85,671.90",174156
10-Oct-2025,EQ,"3,975.00","4,125.90","3,821.00","3,963.60","4,042.00","4,027.50","4,025.87","4,479.00","1,251.55",3727143,"15,00,50,09,019.30",295339
09-Oct-2025,EQ,"4,380.00","4,380.00","3,880.00","4,360.10","3,945.00","3,963.60","4,114.52","4,479.00","1,251.55",4188305,"17,23,28,68,153.70",298822
08-Oct-2025,EQ,"4,318.10","4,479.00","4,292.00","4,348.20","4,320.00","4,360.10","4,390.20","4,479.00","1,251.55",3152297,"13,83,92,11,212.30",212986
07-Oct-2025,EQ,"4,200.00","4,398.00","4,163.10","4,212.20","4,319.00","4,348.20","4,296.78","4,425.70","1,251.55",3526938,"15,15,44,67,951.00",239950
06-Oct-2025,EQ,"4,318.00","4,425.70","4,161.60","4,311.90","4,191.00","4,212.20","4,276.52","4,425.70","1,251.55",4091993,"17,49,95,08,684.60",292677
03-Oct-2025,EQ,"4,029.00","4,387.20","3,955.50","4,062.10","4,318.00","4,311.90","4,242.60","4,387.20","1,251.55",7659924,"32,49,80,19,910.40",482595
01-Oct-2025,EQ,"3,651.00","4,150.00","3,560.00","3,648.50","4,081.00","4,062.10","4,015.38","4,150.00","1,251.55",13970422,"56,09,65,42,236.60",799527
30-Sep-2025,EQ,"3,618.00","3,750.00","3,566.90","3,585.00","3,638.00","3,648.50","3,678.78","3,750.00","1,251.55",2658809,"9,78,11,63,592.40",140568
29-Sep-2025,EQ,"3,700.00","3,720.00","3,526.00","3,695.40","3,630.00","3,585.00","3,587.20","3,745.00","1,251.55",2135778,"7,66,14,55,103.50",114312
26-Sep-2025,EQ,"3,634.70","3,745.00","3,540.00","3,613.50","3,673.90","3,695.40","3,669.23","3,745.00","1,251.55",5693035,"20,88,90,63,001.80",281962
25-Sep-2025,EQ,"3,439.00","3,652.00","3,382.30","3,416.40","3,632.30","3,613.50","3,564.94","3,652.00","1,251.55",5076741,"18,09,82,92,702.50",242187
24-Sep-2025,EQ,"3,490.00","3,610.00","3,397.00","3,540.80","3,430.00","3,416.40","3,497.84","3,610.00","1,251.55",2653915,"9,28,29,67,692.50",134856
23-Sep-2025,EQ,"3,535.00","3,585.00","3,355.40","3,535.40","3,494.00","3,540.80","3,497.48","3,585.00","1,251.55",4161875,"14,55,60,64,548.70",209226
22-Sep-2025,EQ,"3,340.00","3,559.00","3,339.80","3,279.40","3,530.00","3,535.40","3,476.54","3,559.00","1,251.55",6666531,"23,17,64,68,183.30",329527
19-Sep-2025,EQ,"3,070.00","3,305.00","3,050.40","3,037.70","3,272.00","3,279.40","3,217.56","3,314.00","1,251.55",6515146,"20,96,28,78,596.90",278866
18-Sep-2025,EQ,"2,965.00","3,055.00","2,918.30","2,928.40","3,046.10","3,037.70","3,001.09","3,314.00","1,251.55",1979960,"5,94,20,30,519.30",97258
17-Sep-2025,EQ,"2,860.00","2,952.00","2,822.30","2,842.30","2,935.80","2,928.40","2,886.18","3,314.00","1,251.55",1120553,"3,23,41,13,611.30",54489
16-Sep-2025,EQ,"2,904.50","3,007.90","2,828.20","2,882.90","2,835.60","2,842.30","2,887.01","3,314.00","1,251.55",1112284,"3,21,11,74,661.30",60148
15-Sep-2025,EQ,"2,918.00","3,025.00","2,856.00","2,903.80","2,890.00","2,882.90","2,919.79","3,314.00","1,251.55",1985751,"5,79,79,66,109.40",104916
12-Sep-2025,EQ,"3,018.60","3,028.70","2,891.00","3,000.60","2,903.80","2,903.80","2,931.22","3,314.00","1,251.55",1113083,"3,26,26,96,109.00",57418
11-Sep-2025,EQ,"3,120.00","3,120.00","2,975.00","3,130.20","2,986.90","3,000.60","3,051.65","3,314.00","1,251.55",1054016,"3,21,64,92,299.00",62163
10-Sep-2025,EQ,"3,062.00","3,220.00","3,050.00","3,059.80","3,110.00","3,130.20","3,147.93","3,314.00","1,251.55",2953569,"9,29,76,38,983.80",145735
09-Sep-2025,EQ,"3,100.00","3,100.00","2,950.00","3,106.60","3,050.20","3,059.80","3,013.92","3,314.00","1,251.55",2968178,"8,94,58,65,560.20",157548
08-Sep-2025,EQ,"3,135.50","3,314.00","3,000.10","3,079.40","3,141.00","3,106.60","3,135.02","3,314.00","1,251.55",9195385,"28,82,77,12,755.20",570383
05-Sep-2025,EQ,"2,647.70","3,182.50","2,615.00","2,652.10","3,182.50","3,079.40","2,906.37","3,182.50","1,251.55",9811693,"28,51,64,25,021.90",465514
04-Sep-2025,EQ,"2,539.00","2,725.00","2,513.60","2,526.90","2,639.00","2,652.10","2,664.57","3,060.00","1,251.55",6226596,"16,59,11,83,480.90",310051
03-Sep-2025,EQ,"2,355.90","2,564.00","2,281.80","2,266.60","2,516.00","2,526.90","2,471.09","3,060.00","1,251.55",7513235,"18,56,58,46,465.50",364554
02-Sep-2025,EQ,"2,245.20","2,327.00","2,243.90","2,232.80","2,266.00","2,266.60","2,281.93","3,060.00","1,251.55",663793,"1,51,47,30,889.60",51631
01-Sep-2025,EQ,"2,219.00","2,265.00","2,200.10","2,207.60","2,245.00","2,232.80","2,234.99","3,060.00","1,251.55",298234,"66,65,49,383.50",27374
29-Aug-2025,EQ,"2,243.00","2,315.00","2,190.70","2,239.60","2,217.30","2,207.60","2,249.27","3,060.00","1,251.55",458259,"1,03,07,49,660.20",41631
28-Aug-2025,EQ,"2,279.80","2,320.00","2,230.00","2,291.10","2,240.00","2,239.60","2,279.75","3,060.00","1,251.55",406655,"92,70,71,993.50",35884
26-Aug-2025,EQ,"2,354.10","2,380.10","2,275.00","2,371.80","2,288.70","2,291.10","2,321.82","3,060.00","1,251.55",575386,"1,33,59,41,971.10",43799
25-Aug-2025,EQ,"2,316.60","2,423.90","2,280.60","2,322.40","2,350.00","2,371.80","2,368.42","3,060.00","1,251.55",3039690,"7,19,92,75,123.50",182578
22-Aug-2025,EQ,"2,065.00","2,362.90","2,064.90","2,065.80","2,306.00","2,322.40","2,275.94","3,060.00","1,251.55",6897575,"15,69,84,90,335.20",288283
21-Aug-2025,EQ,"2,065.00","2,098.00","2,037.30","2,048.60","2,068.70","2,065.80","2,067.31","3,060.00","1,251.55",260371,"53,82,66,840.60",23666
20-Aug-2025,EQ,"2,130.00","2,133.30","2,040.00","2,126.80","2,054.90","2,048.60","2,068.46","3,060.00","1,251.55",359951,"74,45,43,150.20",32529
19-Aug-2025,EQ,"2,166.70","2,207.90","2,115.50","2,158.10","2,128.00","2,126.80","2,153.94","3,060.00","1,251.55",330063,"71,09,36,020.70",29776
