"Index Name","Date","Open","High","Low","Close"
"NIFTY MIDCAP150 MOMENTUM 50","03 Jun 2025","61514.65","61668","61112.95","61177.25"
"NIFTY MIDCAP150 MOMENTUM 50","02 Jun 2025","60937.7","61212.85","60655.85","61149.40"
"NIFTY MIDCAP150 MOMENTUM 50","30 May 2025","61078.4","61283.8","60749.75","60946.05"
"NIFTY MIDCAP150 MOMENTUM 50","29 May 2025","60797.2","61115.75","60536.15","61017.15"
"NIFTY MIDCAP150 MOMENTUM 50","28 May 2025","60813.4","60906.9","60395.8","60477.85"
"NIFTY MIDCAP150 MOMENTUM 50","27 May 2025","60759.8","60821.4","60417.95","60638.60"
"NIFTY MIDCAP150 MOMENTUM 50","26 May 2025","60614.3","60952.5","60568.25","60705.55"
"NIFTY MIDCAP150 MOMENTUM 50","23 May 2025","60149.75","60603.55","59906.35","60411.35"
"NIFTY MIDCAP150 MOMENTUM 50","22 May 2025","60055.35","60290.8","59664.95","60022.80"
"NIFTY MIDCAP150 MOMENTUM 50","21 May 2025","59938.25","60409.45","59611.55","60183.40"
"NIFTY MIDCAP150 MOMENTUM 50","20 May 2025","61153.3","61176.9","59735.8","59848.25"
"NIFTY MIDCAP150 MOMENTUM 50","19 May 2025","60910.3","61062.65","60383.15","60800.40"
"NIFTY MIDCAP150 MOMENTUM 50","16 May 2025","60535.8","60782.2","60300.05","60702.15"
"NIFTY MIDCAP150 MOMENTUM 50","15 May 2025","60308","60335.7","59844.95","60259.65"
"NIFTY MIDCAP150 MOMENTUM 50","14 May 2025","59621.85","60161.1","59360.6","60075.35"
"NIFTY MIDCAP150 MOMENTUM 50","13 May 2025","59308.8","59748.45","59123.35","59488.50"
"NIFTY MIDCAP150 MOMENTUM 50","12 May 2025","58282.85","59245.05","58147.4","59201.45"
"NIFTY MIDCAP150 MOMENTUM 50","09 May 2025","55595.25","56809.35","55583.5","56668.10"
"NIFTY MIDCAP150 MOMENTUM 50","08 May 2025","58045.15","58294","56489.1","56843.00"
"NIFTY MIDCAP150 MOMENTUM 50","07 May 2025","56313.1","57874.4","56307.2","57796.45"
"NIFTY MIDCAP150 MOMENTUM 50","06 May 2025","58446.75","58479.5","56781.75","56896.65"
"NIFTY MIDCAP150 MOMENTUM 50","05 May 2025","57581","58355.45","57523.9","58293.85"